keywords
"[""Sodium Electrode (钠电极"",""Calcium Electrode (钙电极"",""PCO2 Electrode (二氧化碳分压电极"",""pH Electrode (pH电极"",""SAPS Single Action Pumping System (内腔清洗器（商品名：SAPS）"",""Nasal Mask (鼻罩"",""ARCHITECT Total β-hCG Reagent Kit (总β人绒毛膜促性腺激素测定试剂盒(化学发光微粒子免疫检测法)"",""ECHOGRAPH (超声眼科专用诊断仪"",""Flor-Opal Varnish White (氟保护剂"",""矫治器 (矫治器"",""RelyXTM Ceramic Primer (陶瓷表面处理剂"",""VITROS Immunodiagnostic Products Total T3 Reagent Pack (总三碘甲状腺原氨酸测定试剂包(化学发光法)"",""GLUTATHIONE REDUCTASE (谷胱甘肽还原酶检测试剂盒(紫外酶法)"",""LIAISON（R） XL murex Control HCV Ab (丙型肝炎病毒抗体质控品"",""VITROS Chemistry Products hsCRP Performance Verifier I,II and III (C反应蛋白质控品""]"
"[""Modular Replacement System-(MRS)Cemented Stems (股骨柄(商品名：MRS)"",""Secur-Fit Shell (髋关节假体-髋臼杯"",""Crossfire Insert (髋关节假体-聚乙烯内衬"",""OPAL (椎间融合器(商品名：OPAL)"",""Revision Hip Stem (翻修型股骨柄(商品名：Wagner SL)"",""TI Cage (钛制融合笼（商品名：Intromed）"",""Intromed PEEK Cage System (聚醚醚酮制椎间融合器（商品名：Intromed）"",""VITROS Chemistry Products AMYL DT Slides (淀粉酶测定干片(终点法)"",""VITROS Chemistry Products Fe DT Slides (铁测定干片(速率法)"",""IMMULITE 2000 GI-MA (糖类抗原19-9测定试剂盒(化学发光法)"",""DIRECT HDL-cholesterol(HDL) (高密度脂蛋白固醇检测试剂盒(酶清除法)"",""Mont Blanc (脊柱内固定系统组件"",""DISCOCERV Cervical Disc Prosthesis (人工椎间盘(商品名：DISCOCERV)"",""Iron Liquicolor (血清铁测定试剂盒(比色法)"",""Calibrator 27 (茶碱校准品""]"
"[""CK-MB Fluid (5+1) (肌酸激酶同工酶MB检测试剂盒(DGKC法)"",""ARCHITECT Total β-hCG Calibrators (总β人绒毛膜促性腺激素校准品"",""ARCHITECT Total T4 Calibrators (总甲状腺素校准品"",""TOTAL TEMPOROMANDIBULAR JOINT REPLACEMENT SYSTEM (全套颞下颌关节置换系统"",""Hemoglobin A1c Normal and Abnormal Control Kit (糖化血红蛋白质控品"",""BD IntegraTM Retracting Needle (一次性使用无菌注射针(商品名：IntegraTM)"",""BD EclipseTM Injection Needle with Luer-LokTM Syringe (一次性使用无菌注射器 带针(商品名：一次性使用无菌注射器 带Eclipse TM 针)"",""VNS TherapyTM System-Programing Wand and Software (迷走神经刺激仪-程控仪及软件"",""ARCHITECT HbA1c Reagent Kit (糖化血红蛋白测定试剂盒(化学发光微粒子免疫检测法)"",""Alere Triage(R) Cardiac Panel (心肌损伤测试板(荧光免疫法)"",""OC-CONTROL (便潜血质控品"",""Powder AIR-FLOW soft (牙科喷砂粉"",""Therapy Cool Flex Ablation Catheter (射频消融导管(商品名:Therapy Cool Flex)"",""Trima（R）Set (血液成分分离机配套管路（商品名：Trima）"",""一次性使用吸引/抗凝管路 (一次性使用吸引/抗凝管路""]"
"[""Coronary Imaging Catheter (冠脉超声成像导管(商品名：Atlantis SR Pro)"",""Inflation Device (压力泵（商品名：Encore 26）"",""Computed Radiography Device for Radiograph X-ray (X射线摄影用影像板成像装置"",""Protein Total fluid 5+1 (总蛋白检测试剂盒(双缩脲法)"",""Triglycerides Fluid Monoreagent (甘油三酯检测试剂盒(GPO-PAP法)"",""GPT(ALAT)IFCC fluid 5+1 (谷丙转氨酶检测试剂盒(IFCC法)"",""Cholesterol Fluid Mono (胆固醇检测试剂盒(CHOP-PAP法)"",""Inorganic Phosphorous Fluid Mono (磷检测试剂盒(磷钼酸铵法)"",""IgG (免疫球蛋白G检测试剂盒(免疫比浊法)"",""Lipoprotein (a), Lp(a) (脂蛋白a测定试剂盒(胶乳增强免疫比浊)"",""UIBC (未饱和铁结合力测定试剂盒(酶法)"",""Heat—Cured Resin for Denture Base(Powder ,Lquide) (热凝基托树脂(粉、液)(商品名：Basis)原文名称：義歯床用アクリル系レジン"",""歯科用知覚過敏抑制材料 (齿科脱敏剂(商品名：MS Coat)"",""Hydrosorb Gel (水凝胶伤口敷料（商品名：德湿洁）"",""Abbott RealTime High Risk HPV (人乳头瘤病毒核酸分型检测试剂盒(荧光PCR法)""]"
"[""Haemodialysis Treatment Equipment (血液透析装置"",""Soft Hydrophilic Contact Lenses (软性亲水接触镜"",""Color Diagnostic Ultrasound Scanner (彩色超声诊断仪"",""MICROKERATOME (角膜板层刀"",""ビデオ十二指腸スコープ (电子十二指肠内窥镜"",""Immulite 1000 IgG/IgM Sample Diluent Module (IgG/IgM样本稀释液"",""Left Heart Leads (左心电极导线（商品名：Quartet）"",""CyberWand Dual Probe Lithotripter (双层探针碎石仪"",""Rechargeable Implantable Neurostimulation System (植入式神经刺激器（商品名：RestoreSensor）"",""Merit Manifolds with Pressure Transducer (带压力传感器的连通板"",""ARCHITECT Syphilis TP Reagent Kit (梅毒螺旋体抗体测定试剂盒(化学发光微粒子免疫检测法)"",""Apolipoprotein B (载脂蛋白B(APOB)测定试剂盒(免疫透射比浊法)"",""QuadPort+ Laparoscopic Instrument Port (多通道单孔腹腔镜手术入路装置(商品名：QuadPort+)"",""C-Arm Imaging System (移动式C型臂X射线机"",""Mammographic Anti-Scatter Grid (乳腺防散射滤线栅""]"
"[""VITEK 2 Gram-Positive identification card(VITEK 2 GP Test Kit) (革兰氏阳性细菌鉴定卡"",""Cochlear Implant (人工耳蜗植入体"",""STERRAD NX Sterilizer (过氧化氢低温等离子灭菌系统"",""Washer Disinfector (清洗消毒器"",""Lumipulse(R) G CA19-9-N (糖类抗原19-9(CA19-9)检测试剂盒(化学发光法)(商品名：Lumipulse(R) G CA19-9-N)"",""RHINOCELL Nasal Packings (聚乙烯醇海绵"",""Tissue Stabilizer System (组织固定系统（商品名：Octopus NS）"",""MEDRAD Avanta Sterile Hand Controller (血管造影高压注射器附件-手控器"",""X線イメージインテンシファイア (X射线影像增强器"",""Grind material (研磨材料"",""Renoscope and Accessories (肾镜及附件"",""LIAISON TSH (促甲状腺激素定量测定试剂盒(化学发光法)"",""歯科インプラント手術用器具 (牙科种植体手术用工具"",""Nasal Dressing (鼻腔止血材料(商品名：瑞纳)"",""Bioplate Rigid Fixation Bone Plating System for CraniomaxillofacialSurgery (颅骨内固定系统(商品名：Bioplate)""]"
"[""Instruments for Trauma Surgery (创伤外科手术器械"",""Instruments for Maxillofacial Surgery (颌面外科手术器械(商品名：SYNTHES)"",""Endoscopic Vessel Harvesting System (内窥镜血管采集系统"","" (血细胞除去用净化器"",""Hemostatic Tear-away Sealing Adapter with Infusion Side Port (止血阀"",""Transvalvular Insertion Tool (插入工具"",""Central Venous Catheter Set (一次性使用中心静脉导管包"",""Angiography Catheter (血管造影导管"",""Vivaglass(R) CEM PL Self-curing glass ionomer based radiopaque luting cement (玻璃离子水门汀(商品名：Vivaglass(R)CEM PL)"",""Lumipulse(R) G CA125Ⅱ Calibrators (癌抗原125(CA125)校准液(商品名：Lumipulse(R) G CA125Ⅱ 校准液     )"",""DA Healing Cap (直接基台愈合帽"",""Catheters (导管"",""Adaptable Vit Enhancer (玻切加速机"",""ENclose II Anastomosis Assist Device (吻合术辅助器械(商品名：易扣II)"",""Percutaneous Access Needle (经皮导入针""]"
"[""ACCU-CHEK Mobile (血糖仪"",""ImmunoWELL CARDIOLIPIN ANTIBODY(IGG) TEST (抗心磷脂抗体IgG测定试剂盒(酶联免疫分析法)"",""Immunowell Thyroglobulin Test (抗甲状腺球蛋白测定试剂盒(酶联免疫分析法)"",""VITROS Chemistry Products FS Diluent Pack 1(Apo Diluent/UED) (生化分析仪用稀释液"",""VITROS Chemistry Products FS Diluent Pack 3(Specialty Diluent/Water) (生化分析仪用稀释液"",""PDQ 2 Reagent (洗脱液"",""Bone Replacement Material (骨修复材料(商品名：中文：奥斯泛朗60 英文：OSferion60)"",""Bone Replacement Material (骨修复材料(商品名：奥斯泛朗OSferion)"",""Anterior cervical plate system (颈椎前路固定板系统(商品名：C Plate)"",""Steroid Eluting, Bipolar, Implantable, Screw-in, Ventricular/Atrial, Transvenous Lead (起搏电极导线"",""Hemodent Paste Retraction System (止血排龈膏(商品名：Traxodent-Hemodent Paste Retraction System)"",""Sterile cartridge set (人工晶体折叠夹"",""IMMULITE2000 Calcitonin (降钙素测定试剂盒(化学发光法)"",""Orthodontic Nonmetal Brackets with Precoated Adhesive (粘结剂预置非金属正畸托槽(商品名：3M Unitek Orthodontic Nonmetal Brackets with Precoated Adhesive)"",""Apolipoprotein A-1\u0026B Calibrator (载脂蛋白A-1/B校准液""]"
"[""ARCHITECT Prolactin Calibrators (泌乳素校准品"",""ARCHITECT Estradiol Calibrators (雌二醇校准品"",""General Chemistry 13 (生化13项检测试剂盘（商品名：Piccolo）"",""Lumipulse(R) G TP-N (梅毒螺旋体抗体检测试剂盒(化学发光法)(商品名：Lumipulse(R) G TP-N )"",""free βhCG (游离β-绒毛膜促性腺激素检测试剂盒(电化学发光法)"",""原文名称：滅菌済み体内留置排液用チューブ及びカテーテル (一次性使用引流导管"",""Patient  Assistant (患者控制器(商品名：Reveal XT / DX)"",""Implantable Cardioverter Defibrillator (植入式心律转复除颤器(商品名：Consulta)"",""Sectional Matrix System (成型片系统(商品名：Palodent)"",""Lipid Panel Plus (脂类6项检测试剂盘（商品名：Piccolo）"",""Axium Nylon Detachable Coil (可解脱弹簧圈(商品名：Axium Nylon)"",""Membrane Oxygenator (膜式氧合器"",""加甘油去甘油红细胞处理系统 (加甘油去甘油红细胞处理系统"",""Isletest-IAA (抗胰岛素IgG抗体检测试剂盒(酶联免疫法)"",""Isletest-GAD (抗谷氨酸脱羧酶抗体检测试剂盒(酶联免疫法)""]"
"[""Intra-ocular lens (人工晶状体"",""Intraocular Lens (人工晶状体(商品名：Akreos AO)"",""VITROS Chemistry Products Calibrator Kit 18 (糖化血红蛋白校准品"",""CK-MB (肌酸激酶同工酶(CK-MB)检测试剂盒(紫外线法)"",""Total Bilirubin (总胆红素检测试剂盒(比色法)"",""Human Assayed Multi-Sera (质控血清"",""Premier Hb9210 HbA1c Analyzer (糖化血红蛋白检测仪"",""VITROS Chemistry Products PALB Reagent (前白蛋白测定试剂盒(免疫比浊法)"",""VITROS Chemistry Products Calibrator Kit 23 (前白蛋白校准品"",""Lumipulse(R) G Specimen Diluent 1 (样品稀释液(商品名：Lumipulse(R) G 样品稀释液1    )"",""Lumipulse(R) G CA125Ⅱ (癌抗原125(CA125)检测试剂盒(化学发光法)v商品名：Lumipulse(R)G CA125Ⅱ     )"",""Lumipulse(R) G CA19-9-N Calibrators (糖类抗原19-9(CA19-9)校准液(商品名：Lumipulse(R) G CA19-9-N 校准液 )"",""X射线计算机体层摄影设备 X-ray equipment for computed tomography (X射线计算机体层摄影设备 X-ray equipment for computed tomography"",""ESSENCE Steerable Guidewire (可控导丝(商品名：ESSENCE)"",""α-HBDH (α-羟丁酸脱氢酶测定试剂盒(速率法)""]"
"[""HABIB RF Catheter (射频消融导管"",""ultrasound system (彩色超声诊断系统"",""Cochlear Implant (人工耳蜗植入体"",""ig4 Image Guided System Accessories (CT立体定位辅助设备配套工具"",""Dade Thrombin Reagent (纤维蛋白原测定试剂(凝固法)"",""NOVA Lite dsDNA Crithidia Luciliae (抗双链DNA抗体检测试剂盒(间接免疫荧光法)"",""Spring (正畸弹簧"",""Resectoscopes and Accessories (前列腺电切镜及附件"",""Instruments for Cysto-Urethroscope (尿道膀胱镜用手术器械"",""Balloon Catheter (球囊导管"",""Automated External Defibrillator (自动体外除颤仪"",""SENEGAS (颈前路固定系统"",""Smooth Gel Breast Implants (乳房植入体"",""CS-PLUS Cemented Total Hip Replacement System (骨水泥全髋置换系统组件(商品名：CS-PLUS)"",""Nephroscopes (硬性纤维输尿管肾镜""]"
"[""Nephroscopes (肾镜"",""DAILIES Total1 Soft Contact Lenses (软性亲水接触镜(商品名：舒视氧卓效1天天抛)"",""Nd:YAG激光碎石治疗仪 (Nd:YAG激光碎石治疗仪"",""Spinal Interlaminal Fixation Orthosis (椎间融合器"",""ALIF Cage Instruments for surgical use (椎间融合器工具套装(商品名：WSH ALIF)"",""Panavia F Cement(Dual Cure Dental Adhesive System) (含氟复合树脂粘合剂(商品名：帕娜碧亚TMF)原文名称：歯科接着用レジンセメント"",""Glu-HK (葡萄糖测定试剂盒(己糖激酶法)"",""Apo-B (载脂蛋白B测定试剂盒(免疫比浊法)"",""Linear Accelerator (医用直线加速器"",""Total IgE ELISA (总IgE检测试剂盒(酶联免疫法)"",""ARCHITECT Anti-HBs Calibrators (乙型肝炎病毒表面抗体校准品"",""ARCHITECT HAVAb-IgG Reagent Kit (甲型肝炎病毒IgG抗体测定试剂盒(化学发光微粒子免疫检测法)"",""Video Eye Trakker (视频眼震电图仪"",""ABL80 FLEX CO-OX solution pack (血气试剂包"",""抗核抗体检测试剂盒(荧光法) (抗核抗体检测试剂盒(荧光法)""]"
"[""LysercellTM WNR (溶血剂"",""Palacos G Bone Cement (骨水泥"",""Palacos Bone Cement (骨水泥"",""Silicone Oil (硅油"",""Exeter X-change Screws (骨螺钉（商品名：Exeter X-change）"",""VEPTR (纵向胸廓成形人工钛肋系统(商品名：Synthes)"",""StomaSafe (腹部造口弹性绷带"",""Air Pen Drive System (笔式气钻系统(商品名：A-Pen)"",""motor system (动力系统(商品名：Cayman 200)"",""ApneaGraph (睡眠监测及阻塞定位系统"",""Hand Piece for Ultrasonic Surgical System SonoSurg (超声刀头及附件"",""Graft Tunnel Solutions Sleeve and Screw (袖套和袖套螺钉"",""指趾收缩压测量仪 (指趾收缩压测量仪"",""家庭用電位治療器 (电位治疗仪(商品名：MOVAS)"",""Surgical MRI System (术中磁共振成像系统""]"
"[""PET/MR imaging system (正电子发射断层扫描及磁共振成像系统"",""Computed Tomography System (口腔X射线计算机体层摄影设备"",""Urgosyval (胶带(商品名：优耐夫)"",""External Nasal Splint (鼻腔外固定夹板"",""Mammography X-ray Unit (乳腺X射线机"",""原文名称：滅菌済み体内留置排液用チューブ及びカテーテル (一次性使用引流导管"",""Palindrome H Chronic Catheter Kit (一次性使用血液透析管套装"",""Flocare(R) Gastrostomy tubes (球囊型胃造口管(商品名：复尔凯球囊型胃造口管)"",""Endobronchial Valve (支气管内活瓣"",""HemosIL FDP (纤维蛋白及纤维蛋白原降解产物检测试剂盒(免疫比浊法)"",""ARCHITECT Anti-HBs Reagent Kit (乙型肝炎病毒表面抗体测定试剂盒(化学发光微粒子免疫检测法)"",""CaptiaTM Toxoplasma gondii IgM (弓形虫IgM抗体检测试剂盒(酶联免疫法)(商品名：迈康准TM弓形虫IgM抗体检测试剂盒(酶联免疫法))"",""ARCHITECT Anti-HBs Controls (乙型肝炎病毒表面抗体质控品"",""BinaxNOW(R)Malaria Test (疟原虫抗原检测试剂盒(胶体金法)"",""戊型肝炎病毒IgM抗体检测试剂盒(酶联免疫法) (戊型肝炎病毒IgM抗体检测试剂盒(酶联免疫法)""]"
"[""HbA1c Control P (糖化血红蛋白病理值质控品"",""MR Imaging System AIRIS Elite (磁共振成像系统(商品名：AIRIS Elite 核磁共振装置)"",""Trilogy AB Acetabular System- Shell (髋臼系统组件(商品名：Trilogy AB－髋臼壳)"",""Guide Catheter Set For Left-heart Delivery (左心部传送导引导管"",""PVC Extension set (延长管"",""Medical freezer (医用低温箱"",""ENDOPATH Endoscopic Self-Righting Needle Holder(SRNH1) (腔内自动归位持针钳(商品名：ENDOPATH)"",""MeporePro Absorbent showerproof adhesive dressing (防水自粘敷料(商品名：美敷)"",""Cuf-Cover (一次性血压袖带套(商品名：Cuf-Cover)"",""Lens Delivery System (人工晶体推注器"",""Forceps (基础外科用组织镊"",""STA-Stachrom Plasminogen (纤溶酶原测定试剂盒(发色底物法)"",""HemosIL Factor Ⅹ deficient plasma (Ⅹ因子检测试剂盒（凝固法）"",""原文名称：滅菌済み体内留置排液用チューブ及びカテーテル (一次性使用引流导管"",""SurgiWrap (聚乳酸手术保护膜""]"
"[""Cement Gun (骨水泥枪"",""Vacuum Mixing System (骨水泥真空混合系统"",""Headlamp (头灯(商品名：Keeler)"",""MANTIS Implants (胸腰椎后路脊柱钉棒系统组件(商品名：MANTIS)"",""Compact Digital Holter System (动态数字心电记录仪"",""Protefix Adhesive Cream For The Denture (义齿稳固剂(膏)(商品名：齿固佳)"",""Protefix dhesive Cushions For The Denture (义齿稳固垫剂(垫片)(商品名：齿固佳)"",""PA (前白蛋白测定试剂盒(比浊法)"",""CHOLESTEROL(CHOL) (胆固醇测定试剂盒(酶比色法)"",""CONFIRM anti-Total c-MET (SP44) Rabbit Monoclonal Primary Antibody (抗总肝细胞生长因子受体（SP44）兔单克隆抗体试剂（免疫组织化学法）"",""CONFIRM anti-EGFR (5B7) Rabbit Monoclonal Primary Antibody (抗表皮生长因子受体(5B7)兔单克隆抗体试剂(免疫组织化学法)"",""MetLyte Plus CRP (多项检测试剂盘（商品名：Piccolo）"",""B-60 Cassette (血气分析仪专用测试片(光学法)"",""STA（R）- LIATEST(R)FDP (纤维蛋白/纤维蛋白原降解产物测定试剂盒 (免疫比浊法)"",""HemosIL Homocysteine Controls (同型半胱氨酸质控品""]"
"[""Automated ELISA System (全自动酶标仪(商品名：DYNEX)"",""HemosIL Factor Ⅶ Deficient Plasma (Ⅶ因子检测试剂盒（凝固法）"",""PDQ 1 Reagent (洗脱液"",""Single-use Evacuated Containers for venous blood specimen collection (一次性使用真空静脉血样采集容器(商品名：BD Vacutainer(R))"",""Lupine\u0026Bioknotless BioCryl Rapide Suture Anchors (可吸收软组织损伤缝线锚钉"",""Mastercare-The Swedish Back Care System (背部护理系统"",""X－ray tube Assemblies (X射线管组件(旋转阳极)"",""xenon light source (氙气光源"",""High-Definition 120 Multileaf Collimator (高精多叶光栅系统"",""Drivers (螺丝刀"",""Bone Cement Mixer (牙科骨填充材料搅拌器"",""ProRoot MTA Manual Carrier (根管水泥手动充填器"",""Omni-Matrix Winged/Wingless (成形带"",""Laryngoscope (喉镜"",""CMAX Surgical Table (手术床(商品名：CMAX)""]"
"[""DeVilbiss Suction Unit (吸痰器"",""Leica Surgical Microscope (眼科手术显微镜"",""STA-Staclot Protein S (蛋白S活性测定试剂盒(凝固法)"",""STA-Stachrom Protein C (蛋白C活性测定试剂盒(发色底物法)"",""StatusFirst Troponin I (肌钙蛋白 I 检测板"",""HbA1c Control N (糖化血红蛋白正常值质控品"",""Intra-ocular lens (人工晶状体"",""LH (黄体生成素测定试剂盒(直接化学发光法)"",""TUp (三碘甲状腺原氨酸摄取率测定试剂盒(直接化学发光法)"",""Automatic biochemistry analyzer (全自动生化分析仪"",""Operating Table (手术台"",""Mobile Operating Table (移动式手术台（商品名：BETASTAR）"",""Titanium Elastic Nail System (弹性髓内钉系统(商品名：Synthes)"",""i-CHROMA hsCRP-All in one (C-反应蛋白检测试剂盒(免疫荧光干式定量法)(商品名：艾可美  )"",""Hemostatic Tear-away Introducer System with Infusion side Port (电极传送鞘管系统(带止血阀和灌注口)""]"
"[""Heater (加热器"",""ENT Instruments (耳鼻喉科手术器械"",""MultiFiltrate Kit Ci-Ca CVVHD 1000 (连续性静脉静脉血液透析局部抗凝管路系统"",""Neuroform EZ Stent System (颅内支架系统(商品名：Neuroform EZ)"",""Interbody Fusion Cage (椎间融合器(商品名：JULIET)"",""PDQDiluent Reagent (稀释液"",""ImmunoCAP IgE/ECP/Tryptase Sample Diluent (稀释液"",""Washing Solution (冲洗液"",""CO2 Surgical Laser system (二氧化碳手术激光系统"",""Magnetic resonance diagnostic device (MRI) (超导型医用磁共振成像设备"",""Craniofix absorbable clamp (可吸收颅骨固定夹(商品名：Craniofix absorbable)"",""Pacscan series 300A/P A-Scan/Pachymeter Ophthalmic Ultrasound System (A超角膜测厚扫描仪"",""Foldable Intraocular Lenses (折叠人工晶体(商品名：折叠人工晶体)"",""Ti Classic Compression Hip Screw System (钛合金髋部加压螺钉系统"",""Precicontrol MultiAnalyte (多分析物质控试剂盒""]"
"[""PreciControl Anemia (贫血质控品"",""C.f.a.s. Lp(a) (脂蛋白(a)校准品"",""Lacrosse Coronary Dilatation Catheter (冠状动脉球囊扩张导管(商品名：Lacrosse)"",""Seeing Optic Stylet System (喉镜系统"",""心臓.中心循環系用カテーテルガイドワイヤ (导丝(商品名：Runthrough NS)"",""Vascular Retrieval Forceps (血管内回收钳"",""Legion Primary Knee System (全膝关节系统(商品名：Legion)"",""i-CHROMATM Tn-I (心肌肌钙蛋白I检测试剂盒(免疫荧光干式定量法)(商品名：艾可美)"",""i-CHROMATM CEA (癌胚抗原检测试剂盒 (免疫荧光干式定量法)(商品名：艾可美   )"",""Dental Scaler and Air Polisher (喷砂洁牙机"",""tcpCO2 sensor (经皮二氧化碳分压电极(商品名：经皮电极54)"",""Objective Audiometer (客观听力测试仪"",""Audiometer (耳声发射仪"",""Urodynamic measurement system (尿动力学检查系统"",""Vacuum Infiltration Processor (全封闭组织脱水机""]"
"[""Arterial and Venous Cannula (动静脉插管"",""3MTM CobanTM Self-Adherent Wrap (自粘绷带(商品名：3MTM CobanTM 自粘绷带)"",""Single-use medical rubber examination gloves (一次性使用医用橡胶检查手套"",""Versaport Bladeless and Versaport Plus Bladeless Trocar (一次性使用无刃穿刺器"",""Suction and Aspirating Tubes (吸引管"",""ARCHITECT iPhenytoin Reagent Kit (苯妥英测定试剂盒(化学发光微粒子免疫检测法)"",""原文：歯科用支台築造材料 (复合树脂(商品名：可乐丽菲露 DC CORE)"",""LDH-L (乳酸脱氢酶测定试剂盒(速率法)"",""TRIGLYCERIDE(TG) (甘油三酯测定试剂盒(酶比色法)"",""HDL-CHOL (高密度脂蛋白胆固醇测定试剂盒(比色法)"",""Stainless Steel  Crowns (不锈钢预制临时牙冠"",""Oxygen Nebuliser mask (氧气雾化面罩"",""Blood Glucose Test Meter (血糖仪"",""Digital Surgical Scope (口腔数字观察仪"",""Guardian Seal (牙科树脂基窝沟封闭剂""]"
"[""Take 1 Advanced Bite (硅橡胶印模材料"",""Profluorid Varnish Fluoride-containing dental desensitizing varnish (齿科脱敏剂(商品名：宝氟锐)"",""Orthodontic Primers (正畸预处理剂（商品名：TransbondTM MIP 耐湿性预处理剂(英文：TransbondTM MIP Moisture Insensitive Primer）"",""Hydrofilm plus (伤口薄膜敷贴（商品名：妙膜）"",""Printer (打印机"",""Disposable Speculum (一次性使用窥耳器(商品名：Jazz)"",""Cartriage-syringe (牙科筒式注射器"",""Endo Scrub 2 System Accessory (内窥镜清洗系统附件"",""3M Transpore White Surgical Tape (胶带(商品名：3M 易撕敷料胶带)"",""Hypertonic Sea Water Spray (高渗海水鼻腔喷雾器(商品名：SINOMARIN)"",""OKAMOTO CONDOMS (天然胶乳橡胶避孕套(商品名：冈本OK安全套)"",""Megadyne electrosurgical pencil (电刀笔"",""CHEMO-AIDE Dispensing Pin (化疗药物配置针"",""One Touch SureStep Test Strips (血糖试纸(商品名：稳步型)"",""ARCHITECT iDigoxin Reagent Kit (地高辛测定试剂盒(化学发光微粒子免疫检测法)""]"
