keywords
""
"[""全自动生化分析仪"",""移动式C形臂X射线机"",""切口保护套"",""医用中心吸引系统"",""医用中心供氧系统"",""天门冬氨酸氨基转移酶测定试剂盒(连续监测法)"",""γ-谷氨酰基转移酶测定试剂盒(连续监测法)"",""碱性磷酸酶测定试剂盒(连续监测法)"",""胆固醇测定试剂盒(胆固醇氧化酶终点法)"",""甘油三酯测定试剂盒(甘油磷酸氧化酶终点法)"",""玻璃拔火罐"",""LED医用头灯"",""铜检测试剂盒(比色法)"",""脂肪酶检测试剂盒(比色法)"",""氯检测试剂盒(比色法)""]"
"[""尿微量白蛋白检测试剂盒(免疫比浊法)"",""尿总蛋白检测试剂盒(比色法)"",""APTT活化部分凝血活酶时间测定试剂盒(凝固法)液体型"",""TT凝血酶时间测定试剂盒(凝固法)冻干型"",""多参数床旁监护仪"",""载脂蛋白E测定试剂盒(免疫比浊法)"",""糖类抗原125(CA125)测定试剂盒(酶联免疫吸附法)"",""细胞角蛋白19片断(CYFRA21-1)检测试剂盒(化学发光酶免疫法)"",""凡士林纱布"",""几丁质手术冲洗液(商品名：术冲宁)"",""医用可吸收缝合线(商品名：PGLA医用可吸收缝合线)"",""一次性使用负压引流套装"",""负压封闭引流护创材料"",""自热式柔性TDP灸疗贴(多克自热炎痛贴)"",""定制式义齿""]"
"[""医用多功能防褥疮气垫"",""一次性使用病毒灭活输血过滤器材"",""一次性使用麻醉穿刺包"",""一次性使用无菌腰椎穿刺包"",""一次性使用塑料血袋"",""电脑中频电疗仪"",""红外偏振光治疗仪"",""数字心电记录器"",""医用纱布方(非无菌)"",""GQ-B型多功能骨科复位器"",""椅式担架"",""摄影床"",""剪类骨科手术器械"",""睾酮(T)测定试剂盒(化学发光法)"",""甲状腺素(T4)测定试剂盒(""]"
"[""催乳素(PRL)测定试剂盒(化学发光法)"",""甲胎蛋白(AFP)质控品"",""糖抗原15-3(CA15-3)校准品"",""乙型肝炎病毒表面抗体定量检测试剂盒(时间分辨免疫荧光分析法)"",""硫氧还蛋白还原酶(TR)活性检测试剂盒(分光光度法)"",""T999-1系列电脑中频治疗仪"",""胰淀粉酶测定试剂盒(速率法)"",""医用X射线摄影系统"",""一次性使用无菌阴道扩张器"",""胆固醇(CHOL)检测试剂盒(CHOD-PAP法)"",""白蛋白(ALB)检测试剂盒(溴甲酚绿法)"",""碱性磷酸酶(ALP)检测试剂盒"",""肌酸激酶(CK)检测试剂盒(酶偶联法)"",""α-羟丁酸脱氢酶(α-HBDH)检测试剂盒(DGKC法)"",""无机磷(P)检测试剂盒(UV法)""]"
"[""载脂蛋白A1(APoA1)检测试剂盒"",""直接胆红素(DBIL)检测试剂盒(重氮盐法)"",""总胆红素(TBIL)检测试剂盒(重氮盐法)"",""金属锁定接骨板固定系统"",""金属股骨颈固定钉"",""骨修复材料（商品名：奥邦）"",""医用分子筛制氧机"",""磁共振乳腺线圈穿刺固定架"",""天然煅烧骨修复材料（商品名：骼瑞）"",""创面修复生物材料(商品名：肌肤生）"",""医用透明质酸钠凝胶"",""医用胶原蛋白海绵(商品名:可即邦)"",""可吸收性外科缝线(商品名：可吸收胶原蛋白线)"",""正压无针密闭输液接头"",""β2-微球蛋白测定试剂盒(乳胶比浊法)""]"
"[""一次性使用麻醉穿刺包"",""一次性使用输液器"",""癌胚抗原(CEA)定量测定试剂盒(化学发光免疫分析法)"",""单纯疱疹病毒II型抗体(IgG)检测试剂盒(胶体金法)"",""风疹病毒、弓形虫、巨细胞病毒、单纯疱疹病毒（Ⅰ型/Ⅱ型）IgM抗体检测试剂盒(乳胶法)"",""梅毒螺旋体抗体检测试剂盒(化学发光法)"",""Ⅱ型单纯疱疹病毒IgM抗体检测试剂盒（酶联免疫法）"",""风疹病毒IgM抗体检测试剂盒（酶联免疫法）"",""单纯疱疹病毒Ⅰ型IgM抗体检测试剂盒(酶联免疫法)"",""促甲状腺素(TSH)测定试剂盒(磁微粒化学发光法)"",""肌钙蛋白I检测试剂盒(胶体金法)"",""肌钙蛋白I/肌红蛋白检测试剂盒(胶体金法)"",""肌钙蛋白I/CK-MB/肌红蛋白检测试剂盒(胶体金法)"",""他克莫司测定试剂盒(微粒子酶联免疫检测法)"",""“加加明”电子气动近视眼防治仪""]"
"[""乙型肝炎病毒(HBV)核酸(DNA)检测试剂盒(荧光探针法)"",""人类免疫缺陷病毒(HIV-1)核酸(RNA)检测试剂盒(荧光探针法)"",""沙眼衣原体抗原检测试剂盒(胶体金法)"",""多肿瘤标志物检测试剂盒(蛋白芯片-化学发光法)"",""吗啡检测试剂盒(胶体金法)"",""肿瘤相关抗原CA125校准品"",""牙科X射线机“普一”口腔外X光照射系統"",""血糖试纸(葡萄糖氧化酶法)(商品名：糖悠"",""人工急救呼吸球“升望”急救甦醒器及其配件"",""丙型肝炎病毒抗体检测试剂盒(化学发光法)"",""丙氨酸氨基转移酶测定试剂盒(速率法)"",""幽门螺旋杆菌尿素酶抗体检测试剂盒（胶体金法）"",""肠道病毒通用型、柯萨奇病毒A16型和肠道病毒71型核酸检测试剂盒(荧光PCR法)"",""总前列腺特异性抗原(t-PSA)质控品"",""甲型肝炎病毒IgM抗体检测试剂盒(胶体金法)""]"
"[""癌抗原CA15-3定量测定试剂盒(化学发光免疫分析法)"",""糖类抗原CA19-9定量测定试剂盒(化学发光免疫分析法)"",""电子输注泵"",""一次性使用输注泵"",""远程心电监测仪"",""中频脉冲治疗仪(商品名称：宏科治疗仪)"",""齿科藻酸盐印模材料"",""医用分子筛制氧机"",""动态心电记录器"",""DMS动态心电分析软件"",""半自动血凝分析仪"",""血液粘度计"",""药浴治疗仪"",""周林频谱保健治疗仪"",""低频/红外综合治疗仪(商品名称：妇科综合治疗仪)""]"
"[""医用无损伤缝合针线"",""R系列血氧饱和度传感器"",""医用分子筛制氧机"",""T999-Ⅱ系列中频治疗仪"",""多导脑电地形图仪"",""红外宫颈治疗仪"",""活动义齿"",""上消化道pH值动态测试仪"",""中低频电脑康复治疗仪"",""全自动洗板机"",""定制式活动义齿"",""定制式固定义齿"",""自贴型无菌不粘敷料"",""无菌纱布方"",""半自动化学发光免疫分析仪""]"
"[""C-反应蛋白校准品"",""α-淀粉酶(α-AMY)测定试剂盒(速率法)"",""糖类抗原CA19-9校准品"",""高频电刀"",""体外冲击波碎石机"",""体外冲击波治疗仪"",""全数字超声诊断系统"",""一次性使用腹腔穿刺包"",""封闭负压引流材料"",""负压引流护创系统(商品名：速愈皮)"",""糖抗原15-3(CA15-3)质控品"",""总前列腺特异性抗原(t-PSA)校准品"",""糖抗原19-9(CA19-9)质控品"",""甲胎蛋白(AFP)校准品"",""游离前列腺特异性抗原(F-PSA)校准品""]"
"[""癌胚抗原(CEA)校准品"",""一次性呼吸/麻醉管路组及附件Disposable"",""一次性使用血小板用去白细胞输血器(商品名：一次性使用血小板用去白细胞输血器)"",""医用剪"",""口腔科类外科成套手术器械"",""一次性吻合器"",""带锁髓内钉"",""B-raf基因突变检测试剂盒（基因芯片法）"",""四氢大麻酚酸检测试剂盒(胶体金法)"",""人呼吸道合胞病毒IgG抗体检测试剂盒(酶联免疫法)"",""甲型肝炎病毒IgM抗体检测试剂盒(酶联免疫法)"",""光照治疗仪"",""超声影像分析仪"",""超声关节炎治疗仪"",""一次性使用定量取血管""]"
"[""辅助类骨科手术器械"",""多参数监护仪"",""钳类骨科手术器械"",""刀、锥类骨科手术器械"",""刮匙类骨科手术器械"",""凿、锯、锉类骨科手术器械"",""活检枪"",""KS系列光热治疗仪"",""定制式活动义齿"",""定制式固定义齿"",""牙科综合治疗机"",""全自动血小板聚集仪"",""全自动凝血分析仪"",""医用防护口罩"",""医用中心吸引系统""]"
"[""刮痧砭板"",""铁蛋白(FERRITIN)定量检测试剂盒(磁微粒分离化学发光法)"",""生长激素(GH)定量检测试剂盒(磁微粒分离化学发光法)"",""糖化血红蛋白测定试剂盒(酶法)"",""生化多项校准品"",""总胆红素测定试剂盒(重氮法，液体I型)"",""肌酐测定试剂盒(酶法、液体Ⅰ型)"",""抗心磷脂抗体IgM测定试剂盒(化学发光法)"",""抗精子抗体IgA测定试剂盒(化学发光法)"",""抗透明带抗体IgA测定试剂盒(化学发光法)"",""伟力电脑腹水超滤.浓缩回输系统"",""一次性使用静脉留置针"",""一次性使用血液透析包"",""锁定型金属接骨板"",""高密度脂蛋白胆固醇测定试剂盒(直接法)""]"
"[""高压电位治疗仪"",""医用空气加压氧舱"",""牙科用橡皮帐"",""洗板机"",""谷氨酰基转移酶测定试剂盒(速率法)"",""乳酸脱氢酶试剂盒-LDH(速率法)"",""密闭式抽痰管“普威”密閉式抽痰套(滅菌)"",""隐形眼镜润滑液(可丽)"",""脊柱内固定系统(商品名:"",""可吸收性外科缝线(带针/不带针）“佳合”外科化學吸收縫線(附針/不附針)"",""柯萨奇病毒A16型IgM抗体检测试剂盒(胶体金法)"",""碱性磷酸酶测定试剂盒(速率法)"",""天冬氨酸氨基转移酶测定试剂盒(速率法)"",""总胆红素测定试剂盒(钒酸盐氧化法)"",""α-L-岩藻糖苷酶测定试剂盒(酶显色法)""]"
"[""尿素氮测定试剂盒(脲酶紫外法)"",""输氧面罩"",""软性亲水接触镜"",""软性亲水接触镜"",""磁共振成像系统"",""N-乙酰-β-D-氨基葡萄糖苷酶测定试剂盒(MPT-NAG法)"",""锌测定试剂盒(比色法)"",""骨质疏松治疗系统"",""总胆红素检测试剂盒(钒酸盐氧化法)"",""WDT保健拔罐器"",""KG系列人工髋关节手术辅助工具(打入类)"",""KG系列人工关节手术辅助器械(双动类)"",""KG系列人工髋关节手术辅助工具(髓腔类)"",""KG系列人工髋关节手术辅助工具(旋入类)"",""全自动洗板机""]"
"[""管型吻合器(WFX型)"",""管型吻合器(WFY型)"",""管型吻合器(WEX型)"",""管型吻合器(WEV型)"",""管型吻合器(WFZ型)"",""管型吻合器(WEY型)"",""管型吻合器(WFV型)"",""管型吻合器(WEZ型)"",""通用外固定架"",""人促黄体生成激素(hLH)检测试剂盒(增强化学发光免疫分析法)"",""促卵泡生成激素(FSH)检测试剂盒(增强化学发光免疫分析法)"",""人垂体泌乳素(PRL)检测试剂盒(增强化学发光免疫分析法)"",""睾酮(Tes)检测试剂盒(增强化学发光免疫分析法)"",""雌二醇(E2)检测试剂盒(增强化学发光免疫分析法)"",""β-人绒毛膜促性腺激素(β-HCG)检测试剂盒(增强化学发光免疫分析法)""]"
"[""人绒毛膜促性腺激素(HCG)检测试剂盒(增强化学发光免疫分析法)"",""三碘甲腺原氨酸(T3)检测试剂盒(增强化学发光免疫分析法)"",""甲状腺素(T4)检测试剂盒(增强化学发光免疫分析法)"",""游离三碘甲腺原氨酸(FT3)检测试剂盒(增强化学发光免疫分析法)"",""人促甲状腺激素(hTSH)检测试剂盒(增强化学发光免疫分析法)"",""胰岛素(INS)检测试剂盒(增强化学发光免疫分析法)"",""C肽(C-P)检测试剂盒(增强化学发光免疫分析法)"",""超导磁共振成像系统"",""骨接合植入物"",""钛网"",""捆绑丝(商品名：扎丝）"",""软性亲水接触镜Aquamax"",""铁测定试剂盒(亚铁嗪法、液体I型)"",""钙测定试剂盒(邻甲酚酞络合酮比色法、液体I型)"",""α-淀粉酶测定试剂盒(EPS法，液体Ⅰ型)""]"
"[""碱性磷酸酶测定试剂盒(速率法、液体I型)"",""白蛋白测定试剂盒(溴甲酚绿法、液体I型)"",""尿酸测定试剂盒(尿酸酶比色法、液体Ⅰ型)"",""肌酸激酶测定试剂盒(速率法、液体Ⅰ型)"",""尿素测定试剂盒(酶偶联速率法、液体I型)"",""总蛋白测定试剂盒(双缩脲法、液体I型)"",""尿液分析仪"",""经皮神经电刺激仪"",""定制式固定义齿"",""自动康复机"",""全自动琼脂糖凝胶电泳装置"",""医用超声耦合剂"",""LM系列颈椎康复牵引器"",""孔巾"",""妇科检查垫""]"
"[""PVF系列医用海绵"",""心功能血流参数无损伤检测仪"",""桑园式轻便产床"",""妊娠高血压综合征监测系统"",""肌酐(CRE)检测试剂盒(氧化酶法)"",""血清总胆汁酸(TBA)检测试剂盒"",""D-二聚体检测试剂盒(胶乳增强免疫比浊法)"",""直接胆红素检测试剂盒(钒酸盐氧化法)"",""天冬氨酸氨基转移酶检测试剂盒(酶法)"",""碱性磷酸酶检测试剂盒(酶法)"",""心型脂肪酸结合蛋白检测试剂盒(胶乳增强免疫比浊法)"",""前白蛋白检测试剂盒(免疫比浊法)"",""总胆固醇检测试剂盒(酶法)"",""弓形虫IgM/IgG抗体、巨细胞病毒IgM/IgG抗体、风疹病毒IgG抗体联合检测试剂盒(胶体金法)"",""单纯疱疹病毒Ⅱ型IgM抗体检测试剂盒(酶联免疫法)""]"
"[""单纯疱疹病毒Ⅰ型IgM抗体检测试剂盒(酶联免疫法)"",""乙型肝炎病毒核心抗体诊断试剂(胶体金法)"",""铁蛋白(Ferr)检测试剂盒(增强化学发光免疫分析法)"",""移动式高频医用诊断X射线机"",""移动式高频医用诊断X射线机"",""移动式高频医用诊断X射线机"",""载脂蛋白A1、B校准品"",""柯萨奇病毒B组IgM抗体检测试剂盒（酶联免疫法）"",""细小病毒B19"",""细小病毒B19"",""乙型流感病毒抗原检测试剂盒(免疫渗滤法)"",""人类免疫缺陷病毒1+2型抗体检测试剂盒（免疫渗滤法）"",""弓形虫IgG抗体测定试剂盒(时间分辨荧光免疫法)"",""脊柱后路内固定系统史麥特歐美加脊椎固定系統"",""人工膝关节部件-股骨部件""]"
"[""真空负压引流装置及附件“太平洋”密閉式真空傷口引流套"",""输尿管支架套装"",""细胞角蛋白19片断(CYFRA21-1)检测试剂盒(酶联免疫吸附法)"",""一次性使用输液器"",""一次性使用输液器带针"",""血细胞分析仪稀释液"",""PolyGlass封片剂"",""抗荧光衰退封片剂"",""上消化道电子内窥镜"",""电切镜"",""微波治疗仪"",""β-磷酸三钙生物陶瓷（商品名：贝奥路生物陶瓷）"",""幽门螺旋杆菌IgG抗体检测试剂盒(胶体金法)"",""一次性使用静脉留置针"",""一次性使用自毁式注射器""]"
"[""腔内气压弹道碎石机"",""便携式多参数监护仪"",""人呼吸道合胞病毒IgA抗体检测试剂盒(酶联免疫法)"",""腺病毒IgG"",""腺病毒IgA"",""EB病毒衣壳抗原IgM抗体检测试剂盒(胶体金法)"",""肠道病毒71型IgM抗体检测试剂盒(胶体金法)"",""弓形虫IgM抗体检测试剂盒(胶体金法)"",""碱性蛋白胨水培养基"",""定制式固定义齿"",""HAWK-2M系列高频乳腺医用诊断X射线机"",""MK-A型低频治疗仪(商品名称：肌兴奋治疗仪)"",""一次性使用无菌溶药器"",""磁分离免疫测定仪"",""钾、钠、氯、钙、pH分析仪""]"
"[""洗板机"",""酶标仪"",""脉冲磁治疗仪"",""酶质控品(七项)"",""细菌性阴道病诊断试剂盒(唾液酸酶法)"",""病人转移板"",""医用过床板"",""β2微球蛋白测定试剂盒(免疫比浊法)"",""鞘液"",""缓冲清洗液"",""一次性使用采血护理包"",""精液白细胞染色试剂盒(过氧化物酶染色法)"",""念珠菌显色培养基"",""改良罗氏培养基"",""沙氏培养基""]"
"[""PVP水性封片剂"",""人乳头瘤病毒基因分型检测试剂盒（PCR-反向点杂交法）"",""一次性使用病毒灭活装置配套用输血过滤器"",""胃镜胶(含盐酸利多卡因)"",""一次性使用无菌注射器用活塞"",""软性亲水接触镜"",""软性亲水接触镜"",""医用透明质酸钠凝胶"",""软性亲水接触镜"",""腺病毒IgM"",""电子直乙结肠镜"",""氦氖激光治疗仪"",""半导体激光治疗仪"",""自体血液回收机"",""医用诊断X射线机""]"
"[""医用电子直线加速器"",""N-乙酰β-D葡萄糖苷酶测定试剂盒(MNP比色法)"",""胱抑素C测定试剂盒(免疫比浊法)"",""全量程高敏C反应蛋白测定试剂盒(免疫比浊法)"",""乳酸脱氢酶测定试剂盒(L-P法)"",""伟力低频脉冲治疗仪"",""智能注射泵"",""双力气压密封治疗仪(商品名称：新汉方治疗仪)"",""一次性使用护理中单"",""磷测定试剂(钼酸盐法)"",""γ-谷氨酰转肽酶测定试剂(Glupa底物法)"",""抗人绒毛膜促性腺激素抗体IgM测定试剂盒(化学发光法)"",""抗透明带抗体IgM测定试剂盒(化学发光法)"",""血糖仪"",""剪类骨科手术器械""]"
"[""钳类骨科手术器械"",""钩、针类骨科手术器械"",""刀、锥类骨科手术器械"",""刮匙类骨科手术器械"",""凿、锯类骨科手术器械"",""中频电疗仪"",""YUXI心电导联线"",""视力表投影仪"",""血糖试纸(葡萄糖氧化酶法)(商品名：会好优速(GraceSure)）"",""桥接组合式内固定系统"",""脊柱前路内固定板"",""一次性使用无菌注射器"",""一次性使用留置针(商品名：一次性使用防逆流留置针）"",""一次性使用留置针(商品名：一次性使用留置针）"",""一次性使用无菌注射器""]"
"[""一次性使用无菌注射针(商品名：注射针）"",""载脂蛋白A1(apoA1)检测试剂盒"",""肌钙蛋白I测定试剂盒(胶乳增强免疫比浊法)"",""一次性使用处置包"",""一次性使用换药包"",""抗心磷脂抗体检测试剂盒(增强化学发光免疫分析法)"",""总胆固醇试剂盒-CHO(酶法)"",""肌酐试剂盒-CRE(苦味酸两点法)"",""门冬氨酸氨基转移酶试剂盒-AST(改良赖氏法)"",""丙氨酸氨基转移酶试剂盒-ALT(改良赖氏法)"",""全量程C-反应蛋白测定试剂盒(胶乳增强免疫比浊法)"",""医用电子直线加速器"",""钛合金解剖型接骨板"",""钛合金直型接骨板"",""金属骨针""]"
